,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number
0,20260211-140733,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,10,1,1.0,1,16.139943942999707,10,0,1194,2560,0.619580838404166,,158.6126946314665,232.59064673692393,170.0,2,42.29354679991957,41.949089499667025,4.193401677975532,50.272657520035864,5.900569390980272,5.899975025489517,0.00914099681571577,5.913383391019,5.949511497034216,5.889721000130521,0.8127495640176036,6.710039999816217,1546.9387414998891,1545.9861829999682,3.796165289871173,1551.817523979471,0
1,20260211-140802,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,10,1,1.0,1,16.12287364199983,10,0,1194,2560,0.6202368276304143,,158.78062787338607,232.83690509245756,170.0,2,40.875842300101795,40.963566500522575,3.4560453215007323,46.8738075798592,5.8991484803921,5.895821109801296,0.01440235316708511,5.925610826943489,5.945728651382927,5.886918999749469,0.7786386214426028,6.722665759998563,1545.1587048000874,1546.9778054998642,5.134117915772817,1550.4570452602093,1
2,20260211-140831,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,10,1,1.0,1,16.12259310799982,10,0,1194,2560,0.6202476197850662,,158.78339066497693,232.84095646731384,170.0,2,40.701908800201636,40.259425999920495,3.24139865937946,45.42770813041898,5.900088467057916,5.904338658823618,0.013113474654318153,5.920295488469028,5.946690709880555,5.889194000246789,0.7761103970200972,6.670702369601713,1545.2244678999705,1547.0044520002375,4.8769393013703235,1550.5719198500174,2
3,20260211-140903,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,20,2,1.0,2,18.972531327999604,20,0,2347,5120,1.0541555923264736,,269.86383163557724,393.5689903950889,292.0,4,46.28864349988362,44.65165649980918,6.529043454549532,65.84524379934916,6.915581585882834,6.955594331372827,0.12494758291035142,7.053520533725246,6.97020704980226,6.846910499461956,1.723886713049832,9.232446499927391,1809.761947900006,1817.4360014995727,34.93544580110739,1849.635877520077,0
4,20260211-140936,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,20,2,1.0,2,18.97958414200002,20,0,2347,5120,1.0537638680787476,,269.7635502281594,393.4227401472004,293.0,4,46.113458150011866,44.05326149935718,6.693833411594805,65.57176773952958,6.9188428343138595,6.950858903921613,0.1259920992289805,7.0640537808231585,6.9734960213439905,6.8521319999490515,1.7841825741517485,8.637042820018904,1810.418380900046,1818.7077535003482,35.119616156569414,1851.724105709645,1
5,20260211-141008,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,20,2,1.0,2,18.97956616400006,20,0,2347,5120,1.0537648662346915,,269.763805756081,393.423112808722,293.0,4,45.79368830013664,43.701579999833484,5.990502300030847,61.70994160005647,6.920208097843201,6.956351899999373,0.128456362071292,7.06229862505971,6.974875105533435,6.858604000171908,1.8056154511178923,8.369474320206786,1810.446753250153,1820.396553500359,35.19788410617335,1846.9652114106702,2
6,20260211-141047,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,40,4,1.0,4,25.79442910800026,40,0,4225,10240,1.5507224382645406,,396.9849441957224,560.7800017374145,436.0,7,52.19247865009038,50.816734000363795,4.999123729940699,67.22186557976784,9.607855542156482,9.675992374509494,0.21112730549543002,9.758043183921368,9.685684940502256,9.380550000059884,2.9785623789263687,30.657892780091057,2502.1956418999935,2520.0012705004156,55.78194652614995,2544.243953580144,0
7,20260211-141126,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,40,4,1.0,4,25.803398735999508,40,0,4225,10240,1.5501833851133013,,396.84694658900514,560.5850666415976,436.0,7,51.84160857495499,50.43676549985321,4.974662439803347,67.22272112002427,9.612595405392579,9.681082996078606,0.21535335240163822,9.773151386942402,9.688546795948723,9.393548999469203,2.9417902753622793,30.59183599000789,2503.053436950063,2518.9323100003094,57.08360733705722,2549.192680920087,1
8,20260211-141206,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,40,4,1.0,4,25.796041601999605,40,0,4225,10240,1.5506255036004968,,396.9601289217272,560.7449477395296,436.0,7,52.06529957497423,50.9843839995483,4.911140531575901,67.23204779011212,9.608364781863077,9.682235486273866,0.21116545840007397,9.765744930157156,9.686201488337773,9.384058500018,2.8996167700048256,29.974593520046245,2502.198318950059,2521.346300999994,56.003306355466776,2546.120178520314,2
9,20260211-141253,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,80,8,1.0,8,33.296572138000556,80,0,8152,20480,2.4026497282793255,,615.0783304395073,859.9083377511706,688.0,15,58.62975778742339,57.872038499681366,4.750538961728327,73.07136967998301,12.489188157941427,12.574637380392089,0.25585474060517827,12.656352602548735,12.600331795994185,11.898792000010872,4.175988358875973,36.8922830905922,3243.3727380624873,3264.6758024998235,66.97018965814691,3286.8425066500276,0
10,20260211-141340,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,80,8,1.0,8,33.39561887200034,80,0,8152,20480,2.395523805281951,,613.2540941521795,857.3579699104104,689.0,14,58.6564468000347,58.0490105003264,4.667385003218921,71.79280338014901,12.530091205392136,12.622969645098255,0.2674662257071167,12.732478843961228,12.642225271971858,11.948907000260078,4.201851516964847,37.0188453998162,3253.8297041750297,3276.238214499699,70.11027428634834,3318.0546806502844,1
11,20260211-141427,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,80,8,1.0,8,33.25052344899996,80,0,8152,20480,2.4059771607116183,,615.9301531421743,861.0992258186882,688.0,15,58.00944712501632,57.47876650002581,4.805677528864515,73.2885759800865,12.474971478823402,12.562524427448807,0.25862389710142475,12.666561962431434,12.59034999272759,11.913999999705993,4.18567316503498,36.65355551984255,3239.127174224984,3259.550048499932,67.8126202154546,3287.5868567800535,2
12,20260211-141526,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,160,16,1.0,16,45.468230737999875,160,0,17012,40960,3.51894053063034,,900.848775841367,1275.0001277606377,1040.0,27,80.20719475627516,74.92480150040137,14.731537364002966,112.16547390005871,17.1468170517401,17.269805250982568,0.44443161910466583,17.551063168038,17.300711620050837,16.013443999327137,5.978395407923473,44.168877680422156,4452.64554295,4483.493086999715,115.54197250074634,4551.1160379699595,0
