,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number
0,20260211-152349,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,10,1,1.0,1,16.32823788099995,10,0,1194,2560,0.612435957442555,,156.78360510529407,229.90845842393514,169.0,2,50.09138189998339,42.99794849976024,24.92395738128194,117.32132303068285,5.943458647058887,5.9472885156876645,0.012199244051881636,5.957743882940978,5.9903625940724625,5.942685999798414,0.8127444262302133,6.902275100346743,1565.6733368999994,1559.3438104997404,22.438386295032743,1625.8301888399183,0
1,20260211-152419,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,10,1,1.0,1,16.24374612000065,10,0,1194,2560,0.6156215398914151,,157.59911421220227,231.10432607523722,169.0,2,41.20656009963568,41.17801099891949,3.4422536849529037,46.15272982953684,5.945584047842524,5.949024001960888,0.011367226409742161,5.959337175877961,5.992541411462672,5.942196999967564,0.7799834752728736,6.771554851093242,1557.3304922994794,1559.0721184998984,6.007329887791671,1563.9256505594676,1
2,20260211-152448,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,10,1,1.0,1,16.249859194000237,10,0,1194,2560,0.615389947729036,,157.5398266186332,231.01738637748008,169.0,2,42.14565429992945,43.642126999657194,3.556896260977775,46.88695448934595,5.944090912943305,5.9450384176492586,0.005252810848216016,5.951865788039369,5.991035410277783,5.941493000136688,0.793851520449777,6.7276805907386015,1557.8888371004723,1559.2830055002196,4.515554286614925,1563.3733469108847,2
3,20260211-152521,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,20,2,1.0,2,19.62178150300133,20,0,2347,5120,1.0192754412712637,,260.9345129654435,380.5464859986263,291.0,4,76.35473509953954,43.91222949925577,129.7662871295635,531.5433412889245,7.0536088784327005,6.969982019604775,0.4512440545846254,8.611964462157271,7.112136520167988,6.872458000543702,8.948274647806477,9.032554949772083,1875.0249990998782,1825.6657054998868,168.90657815640296,2402.575835069256,0
4,20260211-152554,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,20,2,1.0,2,19.063391911000508,20,0,2347,5120,1.0491312403045663,,268.57759751796897,391.69314856770984,292.0,4,47.20918720022382,45.75442599980306,6.787822631226965,66.64074429110767,6.942295943920137,6.971278717648209,0.11582776471910625,7.060432522586495,6.997126181224245,6.8820164997305255,1.7469507988484674,9.523720741253754,1817.494652899859,1825.4083364990947,32.58627245950712,1851.1292868897726,1
5,20260211-152627,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,20,2,1.0,2,19.03224225700069,20,0,2347,5120,1.0508483304243008,,269.017172588621,392.33422416391267,292.0,4,46.82952139992267,46.137643499605474,6.426824758513956,66.19911763136768,6.937898233921743,6.974878952942341,0.11506310144760779,7.057572470156432,6.992702391898606,6.872845000543748,1.753136321847158,8.997571439795125,1815.9935710499667,1823.4978935006438,32.77284966755382,1853.2612625907132,2
6,20260211-152706,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,40,4,1.0,4,25.795101453000825,40,0,4225,10240,1.5506820189438206,,396.9745968496181,560.7653851005591,432.0,7,52.019127349967675,50.738134500534215,5.140178616830456,67.21912720031469,9.607737098431958,9.675067588236118,0.20261365876383988,9.766134738431349,9.6855634454438,9.372395000355027,2.941160947457649,30.51604933061753,2501.9920874501167,2517.549337499986,53.788844238840525,2542.3045168701356,0
7,20260211-152745,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,40,4,1.0,4,25.801552299000832,40,0,4225,10240,1.5502943209176219,,396.8753461549112,560.625183801835,436.0,7,51.815327624944985,50.69714999990538,5.060694034846791,67.48146990068562,9.611632372254961,9.682842133335333,0.2047253983867008,9.773235303493458,9.691403738929218,9.379832499689655,2.9840335143329457,30.43017294958192,2502.78158254996,2519.8821024996505,54.62103837223128,2543.843546001008,1
8,20260211-152824,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,40,4,1.0,4,25.792134944998907,40,0,4225,10240,1.5508603721754333,,397.0202552769109,560.829882087941,432.0,7,51.73922882486295,50.54881050000404,5.083926624420024,67.32280651998734,9.608545451961689,9.682332790194492,0.20158583604653102,9.767061519135513,9.689253691646604,9.377263999340357,2.9872372275059886,31.149013699723678,2501.9183190750937,2518.9274265003405,53.77733417339701,2544.191685960268,2
9,20260211-152911,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,80,8,1.0,8,33.218177456001285,80,0,8152,20480,2.408319965957283,,616.5299112850645,861.9377158161116,694.0,15,58.19296291244882,57.648995500130695,4.850894764504276,74.81500239937303,12.461532443039419,12.540624182357158,0.26015333226239573,12.66576784972523,12.570566225486209,11.90037400010624,4.168677026336051,36.51054140002084,3235.8837358875007,3256.9812370002182,68.14693899198356,3288.6286607208967,0
10,20260211-152958,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,80,8,1.0,8,33.24238929400053,80,0,8152,20480,2.4065658846741838,,616.080866476591,861.3099301248903,694.0,15,58.63135328750104,57.94899649936269,4.603510167601901,72.62272578998817,12.469093816568655,12.552553721569911,0.2548483915642396,12.639197751256955,12.588147877171354,11.888975001056679,4.2427590851839545,36.703210879495586,3238.250276512508,3258.991057999083,66.4480112326169,3287.741977410624,1
11,20260211-153046,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,80,8,1.0,8,33.162724080999396,80,0,8152,20480,2.412347061857806,,617.5608478355983,863.3790134389087,694.0,15,58.68758752501435,57.992898000520654,4.837335429191423,74.05669464938907,12.437309258137194,12.52404793137305,0.24954915309338233,12.622040090509508,12.549856436761317,11.866591999933007,4.219037674343381,36.63828392032883,3230.201448349999,3251.837081999838,65.1674690253652,3276.9033647199467,2
12,20260211-153146,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,160,16,1.0,16,45.59962712199922,160,0,17012,40960,3.5088006218105483,,898.2529591835004,1271.326185297507,1040.0,27,80.95743746872586,77.45248450009967,13.963023126329144,112.20026013059396,17.195017491323608,17.3167792627425,0.4285903597236047,17.647868666548284,17.34977196369594,16.054023999458877,6.053509316081685,44.36511539897765,4465.686897756245,4497.759965500336,112.23566194397684,4571.504097170437,0
