,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number
0,20260211-144618,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,10,1,1.0,1,15.79200491300071,10,0,1194,2560,0.6332318192079295,,162.10734571722995,237.71522493065675,174.0,2,43.124045499826025,42.80710649982211,5.217138070002615,54.730829300569894,5.760878425098781,5.762670031375213,0.009587195983657667,5.773631367839698,5.808668560301699,5.758571000114898,0.789902868353754,6.997793599657575,1512.1480439000152,1513.1614445008381,5.800668987438993,1520.8797544200024,0
1,20260211-144647,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,10,1,1.0,1,15.77631271899918,10,0,1194,2560,0.6338616746584358,,162.26858871255956,237.9516726667768,174.0,2,41.22833229976095,41.199045999746886,3.05520876797112,45.74403418955626,5.761922333726496,5.761656035297076,0.011047459070063523,5.776749847606398,5.807417688142616,5.760420999649796,0.7794901466133287,6.7077507904105005,1510.5185274000178,1508.8759344998834,5.597499493775452,1517.4468120903475,1
2,20260211-144717,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,10,1,1.0,1,15.76642016400001,10,0,1194,2560,0.6342593877355451,,162.37040326029955,238.10097415592367,174.0,2,40.7982210001137,40.48261900061334,3.6243038588947973,45.54600743989795,5.759661135293843,5.761489733331294,0.008059954063668053,5.77217008748459,5.805126279050556,5.757453000114765,0.7380368895203469,6.575067439571285,1509.5118105000438,1510.1330164998217,5.276479664757787,1516.8483432689027,2
3,20260211-144749,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,20,2,1.0,2,19.036663705999672,20,0,2347,5120,1.050604260750623,,268.9546907521595,392.2431007512451,298.0,4,70.71678130014334,45.432374499796424,105.70622549038657,441.74167294033333,6.848214590587732,6.788277568625299,0.352214480424878,8.05458479039318,6.902309711463042,6.693127499602269,7.379611290652146,8.999766718970918,1817.011501900015,1776.7276835002122,135.17079343373868,2244.112231400177,0
4,20260211-144821,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,20,2,1.0,2,18.562624144000438,20,0,2347,5120,1.0774338716794054,,275.8230711499278,402.259935991506,300.0,4,45.07162895015426,43.25240549951559,5.833185273868346,60.8309111607923,6.75838205941153,6.79266961764655,0.11712896171634618,6.870344735845933,6.81177010671918,6.6969264998988365,1.7926851625204991,8.441193549697344,1768.4590541000944,1775.6888279991472,32.61205908689679,1800.9246218107364,1
5,20260211-144853,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,20,2,1.0,2,18.558463434999794,20,0,2347,5120,1.077675426634814,,275.8849092185124,402.3501205341078,300.0,4,45.361307299936016,43.54220049935975,5.991593215535528,60.51111613049215,6.757672526078287,6.789491833336012,0.11602717840710886,6.862738068076378,6.811050500395277,6.696306500089122,1.8060718565534717,8.18200525960492,1768.567801449899,1775.6685375006782,32.28789603732357,1796.2801561294145,2
6,20260211-144932,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,40,4,1.0,4,25.315143448000526,40,0,4225,10240,1.5800819016555616,,404.5009668238238,571.3971176861925,443.0,8,51.17602847499256,50.12754100062011,4.673709415196722,65.78182581002692,9.422574650097884,9.485262460785794,0.20453762390508537,9.576934892980182,9.497966532166629,9.192636000079801,2.9295448886886533,30.263856879209925,2453.9325642499534,2468.6078770000677,54.03115623623244,2492.502327539787,0
7,20260211-145011,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,40,4,1.0,4,25.29781821100005,40,0,4225,10240,1.581164022382259,,404.7779897298583,571.7884395939844,444.0,8,51.658136050036774,50.416445998962445,5.05526613229127,66.4765707893639,9.415261187646584,9.484506117648076,0.20730300622399855,9.573009639564535,9.489651554940792,9.183336999740277,2.9553112311387117,31.14376392006304,2452.5497388999156,2469.3331580010636,55.07200113568433,2493.100454369778,1
8,20260211-145050,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,40,4,1.0,4,25.319116368000323,40,0,4225,10240,1.5798339649228113,,404.4374950202397,571.3074575652116,444.0,8,51.40110152497073,50.15409049974551,5.058776216560637,66.82598479917942,9.423237026077521,9.485859099999395,0.20333492472218487,9.579089411487576,9.498621924696259,9.187461999317748,2.9667142892445546,30.785634880012363,2454.3265431747386,2470.0268869992215,53.959275869708364,2494.0827824690678,2
9,20260211-145136,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,80,8,1.0,8,32.754278036998585,80,0,8152,20480,2.44242904421931,,625.2618353201434,874.1453549260912,702.0,15,57.74208007501329,57.285549500193156,4.766314792193754,72.5482240209567,12.280427344754644,12.35395149215394,0.258291915319696,12.471149329372922,12.386650838665057,11.70206500137283,4.150865438929812,36.30093003936051,3189.251052987447,3208.4852709995175,67.67008014436945,3238.6858384104016,0
10,20260211-145223,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,80,8,1.0,8,32.74282618899997,80,0,8152,20480,2.4432832870998835,,625.4805214975702,874.4510884530483,702.0,15,57.73237835007876,57.30594600117911,4.6994419229713325,73.51263289043344,12.27771979656912,12.344294388233665,0.2561125613086975,12.490445436903446,12.380247488754613,11.68830900132889,4.123467609329788,35.291288300322776,3188.5509264752045,3205.882099000519,67.11329395714817,3244.050673450165,1
11,20260211-145309,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,80,8,1.0,8,32.712708139000824,80,0,8152,20480,2.44553277766148,,626.0563910813389,875.2561811250438,702.0,15,57.82008958751703,57.3876204998669,4.6347287373327815,71.87501118914949,12.263972796666735,12.336961245098648,0.2555455230365758,12.458783113646183,12.370055770581072,11.67209599952912,4.164314644719674,36.52595160085183,3185.133152737535,3203.4813170002963,66.94188496643052,3235.827186381084,2
12,20260211-145409,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,160,16,1.0,16,45.700953400999424,160,0,17012,40960,3.501021053020329,,896.2613895732043,1268.5074530355907,1056.0,26,90.67489471245835,85.54418899984739,65.83680764322229,554.2024224797022,17.19584751254923,17.222101309801243,0.49034720920324754,18.586190072979804,17.35060851746006,15.989201498996408,11.002934541588722,45.16808445023344,4475.616010412511,4475.775882999187,129.24425722720727,4815.649677250385,0
13,20260211-145508,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,160,16,1.0,16,45.47090409900011,160,0,17012,40960,3.5187336423231215,,900.7958124347191,1274.925166954725,1056.0,27,82.77347816878091,86.42617399982555,15.358757373260762,112.47861938119966,17.13797046046533,17.286709601959206,0.4477401319811952,17.49111547380095,17.294352563478306,16.02963900040777,6.024052560628742,44.80746540011749,4452.955945587439,4493.050324499563,117.40048050374114,4537.413276200095,1
14,20260211-145607,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,160,16,1.0,16,45.09075032700093,160,0,17012,40960,3.5483995905960763,,908.3902951925955,1285.6738816627233,1040.0,27,80.3888831437007,80.81138099987584,13.20881613919399,109.3014514594688,16.996914130734996,17.14344167647177,0.4368441981801894,17.37079686635066,17.149459346415412,15.937345000565983,5.957706173709344,45.98383624004782,4414.601986481125,4450.940605499454,114.09670910501814,4500.603621139726,2
15,20260211-145736,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,320,32,1.0,32,74.83303227599936,320,0,33740,81920,4.276186468293511,,1094.7037358831387,1545.5741466338359,1585.0,64,996.4509588093279,129.40034849998483,1407.5475442526038,5423.939619599005,25.14370991605387,22.078368719606562,5.243727410504188,42.38981488611463,25.37190019444523,20.913917000143556,96.93164954179815,51.278900549459806,7408.096987403064,6974.733056000332,1477.7327633772638,10908.19876149897,0
16,20260211-145850,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,320,32,1.0,32,60.33108594299847,320,0,33740,81920,5.304064977420427,,1357.8406342196292,1917.0879852763956,1568.0,56,111.79115374688422,115.52874950120895,17.632592542387115,145.03202148034688,22.86659421738941,22.972071111764627,0.4468591616628257,23.272613037566128,23.072974251947457,21.055733999673976,8.176468612419766,59.75308276039868,5942.772679181184,5970.184490500287,112.65252408790424,6040.360076570942,1
17,20260211-150005,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,320,32,1.0,32,60.527877968999746,320,0,33740,81920,5.286820069322317,,1353.4259377465132,1910.8550288056852,1567.0,53,114.23377037498312,115.43953899945336,20.073219555699495,154.09034322039588,22.935288044865143,23.05393226862518,0.4649900501559825,23.357859532704765,23.13627982455405,21.10148400061007,8.283350358055223,57.33543470087176,5962.732221815594,5998.8090454990015,116.98185652476317,6055.023507620226,2
18,20260211-150155,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,640,64,1.0,64,96.26187629000015,640,0,65323,163840,6.648530287025834,,1702.0237534786136,2380.6205408839082,2432.0,128,1534.6577303250313,1503.1971190001059,1397.3567619844457,5184.970306879714,31.446653278033107,28.383910876472523,5.080222481007688,51.28852859541069,31.730875904407007,26.774927499900514,83.4634857729414,66.81962035974722,9553.554316223474,8721.20398900006,1692.350559580011,13224.383870490183,0
19,20260211-150344,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,640,64,1.0,64,95.25543463100075,640,0,65323,163840,6.71877675514498,,1720.006849317115,2405.773496155139,2432.0,114,617.9704294890996,194.31610250012454,794.5968811718099,3373.3068201804235,34.63056856210751,33.929122560784535,4.674705848761162,45.90414435803498,34.94141220070698,26.872604499658337,99.18593631467917,80.37663760025679,9448.765412826515,8859.208534499885,1300.4551539335587,12140.497193080155,1
